"Fixed Acidity","pH","Alcohol","Quality","Type"
7.4,3.51,9.4,"Medium","Red"
7.8,3.2,9.8,"Medium","Red"
7.8,3.26,9.8,"Medium","Red"
11.2,3.16,9.8,"Medium","Red"
7.4,3.51,9.4,"Medium","Red"
7.4,3.51,9.4,"Medium","Red"
7.9,3.3,9.4,"Medium","Red"
7.3,3.39,10,"Medium","Red"
7.8,3.36,9.5,"Medium","Red"
7.5,3.35,10.5,"Medium","Red"
6.7,3.28,9.2,"Medium","Red"
7.5,3.35,10.5,"Medium","Red"
5.6,3.58,9.9,"Medium","Red"
7.8,3.26,9.1,"Medium","Red"
8.9,3.16,9.2,"Medium","Red"
8.9,3.17,9.2,"Medium","Red"
8.5,3.3,10.5,"Medium","Red"
8.1,3.11,9.3,"Medium","Red"
7.4,3.38,9,"Medium","Red"
7.9,3.04,9.2,"Medium","Red"
8.9,3.39,9.4,"Medium","Red"
7.6,3.52,9.7,"Medium","Red"
7.9,3.17,9.5,"Medium","Red"
8.5,3.17,9.4,"Medium","Red"
6.9,3.43,9.7,"Medium","Red"
6.3,3.34,9.3,"Medium","Red"
7.6,3.28,9.5,"Medium","Red"
7.9,3.17,9.5,"Medium","Red"
7.1,3.47,9.4,"Medium","Red"
7.8,3.38,9.8,"Medium","Red"
6.7,3.35,10.1,"Medium","Red"
6.9,3.46,10.6,"Medium","Red"
8.3,3.17,9.8,"Medium","Red"
6.9,3.45,9.4,"Medium","Red"
5.2,3.38,9.2,"Medium","Red"
7.8,3.4,9.6,"Medium","Red"
7.8,3.42,10.8,"Medium","Red"
8.1,3.23,9.7,"Medium","Red"
5.7,3.5,9.8,"Medium","Red"
7.3,3.33,10.5,"Medium","Red"
7.3,3.33,10.5,"Medium","Red"
8.8,3.26,9.3,"Medium","Red"
7.5,3.21,10.5,"Medium","Red"
8.1,3.3,10.3,"Medium","Red"
6.8,3.48,9.5,"Medium","Red"
4.6,3.9,13.1,"Medium","Red"
7.7,3.25,9.2,"Medium","Red"
8.7,3.25,9.5,"Medium","Red"
6.4,3.34,9.2,"Medium","Red"
5.6,3.32,9.2,"Medium","Red"
8.8,3.15,9.2,"Medium","Red"
6.6,3.4,9.4,"Medium","Red"
6.6,3.39,9.4,"Medium","Red"
8.6,3.2,9.4,"Medium","Red"
7.6,3.17,10.2,"Medium","Red"
7.7,3.34,9.5,"Medium","Red"
10.2,3.04,9.6,"Medium","Red"
7.5,3.26,9.4,"Medium","Red"
7.8,3.43,10,"Medium","Red"
7.3,3.41,9.4,"Medium","Red"
8.8,3.44,9.2,"Medium","Red"
7.7,3.21,9.3,"Medium","Red"
7.5,3.38,9.5,"Medium","Red"
7,3.39,9.8,"Medium","Red"
7.2,3.41,10.9,"Medium","Red"
7.2,3.41,10.9,"Medium","Red"
7.5,3.42,9.6,"Medium","Red"
6.6,3.44,10.7,"Medium","Red"
9.3,3.28,10.7,"Medium","Red"
8,3.34,10.5,"Medium","Red"
7.7,3.32,9.5,"Medium","Red"
7.7,3.32,9.5,"Medium","Red"
7.7,3.31,9.5,"Medium","Red"
8.3,3.31,9.2,"Medium","Red"
9.7,3.28,9.6,"Medium","Red"
8.8,3.54,10.5,"Medium","Red"
8.8,3.54,10.5,"Medium","Red"
6.8,3.52,10.7,"Medium","Red"
6.7,3.38,10.1,"Medium","Red"
8.3,3.16,9.1,"Medium","Red"
6.2,3.41,9.2,"Medium","Red"
7.8,3.13,9.4,"Medium","Red"
7.4,3.36,9.1,"Medium","Red"
7.3,3.16,9.4,"Medium","Red"
6.3,3.44,10.3,"Medium","Red"
6.9,3.41,10.1,"Medium","Red"
8.6,2.93,9.9,"Medium","Red"
7.7,3.39,9.6,"Medium","Red"
9.3,3.14,9.5,"Medium","Red"
7,3.48,9,"Medium","Red"
7.9,3.23,9.5,"Medium","Red"
8.6,2.93,9.9,"Medium","Red"
8.6,2.93,9.8,"Medium","Red"
7.7,3.39,9.6,"Medium","Red"
5,3.75,10.5,"Medium","Red"
4.7,3.85,12.9,"Medium","Red"
6.8,3.45,10.7,"Medium","Red"
7,3.25,9.2,"Medium","Red"
7.6,3.39,9.8,"Medium","Red"
8.1,3.3,9,"Medium","Red"
8.3,3.4,10.2,"Medium","Red"
7.8,3.31,10.4,"Medium","Red"
8.1,3.3,9,"Medium","Red"
8.1,3.29,9.2,"Medium","Red"
7.2,3.33,9.4,"Medium","Red"
8.1,3.29,9.2,"Medium","Red"
7.8,3.08,9.3,"Medium","Red"
6.2,3.46,9.3,"Medium","Red"
8,3.37,9.6,"Medium","Red"
8.1,3.21,9.3,"Medium","Red"
7.8,3.19,9.5,"Medium","Red"
8.4,3.15,9.8,"Medium","Red"
8.4,3.15,9.8,"Medium","Red"
10.1,3.32,9.7,"Medium","Red"
7.8,3.19,9.5,"Medium","Red"
9.4,3.07,10.5,"Medium","Red"
8.3,3.39,10,"Medium","Red"
7.8,3.37,9.4,"Medium","Red"
8.8,3.21,10.9,"Medium","Red"
7,3.34,9.2,"Medium","Red"
7.3,3.3,9,"Medium","Red"
8.8,3.21,10.9,"Medium","Red"
